"","date","Price","meanf","naive","snaive","rwf","ses","holt","splinef","thetaf","ets","tbats","arima","nnetar"
"220",2018-08-09,37.213875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",2018-08-10,36.566166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",2018-08-11,36.566166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",2018-08-12,36.566166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",2018-08-13,36.104919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",2018-08-14,36.39933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",2018-08-15,36.742809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",2018-08-16,37.449406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",2018-08-17,37.086296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",2018-08-18,37.086296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",2018-08-19,37.086296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",2018-08-20,39.245338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",2018-08-21,39.578999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",2018-08-22,38.460224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234",2018-08-23,38.106937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",2018-08-24,38.097118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",2018-08-25,38.097118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237",2018-08-26,38.097118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238",2018-08-27,38.784088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",2018-08-28,39.932289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240",2018-08-29,39.745834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241",2018-08-30,39.647697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242",2018-08-31,39.726204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243",2018-09-01,39.726204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244",2018-09-02,39.726204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245",2018-09-03,39.726204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246",2018-09-04,40.010807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247",2018-09-05,38.93129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248",2018-09-06,37.763451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249",2018-09-07,37.714378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250",2018-09-08,37.714378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251",2018-09-09,37.714378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252",2018-09-10,38.695759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253",2018-09-11,39.431789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254",2018-09-12,38.528919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",2018-09-13,38.744823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256",2018-09-14,38.999989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257",2018-09-15,38.999989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258",2018-09-16,38.999989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259",2018-09-17,39.569183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260",2018-09-18,40.030434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261",2018-09-19,40.825348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262",2018-09-20,41.109947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263",2018-09-21,42.788105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264",2018-09-22,42.788105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265",2018-09-23,42.788105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266",2018-09-24,41.198277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267",2018-09-25,40.05006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268",2018-09-26,40.27578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
